dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,6.333,157.667,1098.433,7.0,93.333
wine,3421827.432,5.733,141.0,1177.367,8.2,80.0
connectionist,314.774,10.167,246.333,2036.1,9.5,66.667
seeds,624.257,5.267,131.0,1188.9,9.3,90.0
heart,3347.196,12.333,295.667,2629.5,18.3,13.333
vertebral,559533.96,3.533,87.0,822.4,5.5,90.0
computers,320716.535,12.433,301.333,2914.333,36.4,23.333
gene,17808477.337,11.533,272.333,1994.567,680.3,40.0
movement-libras,381.451,19.067,560.667,3645.367,181.5,0.0
toxicity,4875920508130725.0,4.233,104.0,733.033,4.0,96.667
ECG5000,12734.666,14.633,385.333,3681.533,100.0,3.333
ecoli,15.627,14.7,386.667,3313.033,87.5,0.0
glass,90.708,14.0,358.0,2550.5,35.3,3.333
accent,29545.485,14.067,361.333,3445.7,72.8,0.0
