dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,1.9,39.9,301.767,2.0,100.0
wine,3421827.432,2.5,52.5,379.1,2.7,100.0
connectionist,314.774,5.133,107.8,726.867,3.8,100.0
seeds,624.257,2.167,45.5,380.167,3.2,100.0
heart,3347.197,7.933,166.6,1072.233,8.1,100.0
vertebral,559533.96,1.667,35.0,283.033,2.1,100.0
computers,320716.661,8.2,172.2,1211.5,17.1,100.0
gene,17808477.337,5.233,109.9,714.967,250.1,100.0
movement-libras,381.776,19.233,403.9,2004.833,107.4,100.0
toxicity,4925753246225918.0,1.267,26.6,211.4,1.2,100.0
ECG5000,12734.668,11.967,251.3,1602.2,47.3,100.0
ecoli,15.628,13.0,273.0,1597.733,45.7,100.0
glass,90.792,11.167,234.5,1204.867,17.1,100.0
accent,29545.496,11.6,243.6,1539.767,33.4,100.0
