dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,2.033,42.7,304.1,1.9,100.0
wine,3421827.432,2.567,53.9,383.267,2.7,93.333
connectionist,314.774,4.567,95.9,674.967,3.1,90.0
seeds,624.257,2.233,46.9,380.233,3.0,93.333
heart,3347.196,6.367,133.7,984.533,6.5,50.0
vertebral,559533.96,1.4,29.4,263.633,1.8,100.0
computers,320716.535,6.4,134.4,1076.5,13.7,73.333
gene,17808477.337,5.0,105.0,694.333,241.0,93.333
movement-libras,381.718,12.533,263.2,1433.1,73.5,63.333
toxicity,4925753246225918.0,1.0,21.0,197.033,1.0,100.0
ECG5000,12734.701,8.333,175.0,1313.833,36.3,50.0
ecoli,15.628,8.567,179.9,1236.733,33.3,36.667
glass,90.765,8.7,182.7,1046.1,14.4,56.667
accent,29545.538,8.533,179.2,1308.067,27.2,53.333
