dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,2.133,44.8,319.133,2.1,100.0
wine,3421827.432,2.367,49.7,374.4,2.7,93.333
connectionist,314.774,4.6,96.6,693.567,3.4,80.0
seeds,624.257,2.067,43.4,381.233,3.1,93.333
heart,3347.196,6.233,130.9,952.0,7.0,53.333
vertebral,559533.96,1.433,30.1,271.867,2.0,96.667
computers,320716.545,6.3,132.3,1072.733,14.7,60.0
gene,17808477.337,4.833,101.5,676.833,236.5,100.0
movement-libras,381.675,12.7,266.7,1438.833,76.0,63.333
toxicity,4925753246225918.0,1.133,23.8,204.667,1.1,100.0
ECG5000,12734.669,8.567,179.9,1313.233,38.3,46.667
ecoli,15.626,9.2,193.2,1286.3,36.0,50.0
glass,90.739,8.5,178.5,1014.467,14.6,63.333
accent,29545.485,8.067,169.4,1276.467,27.3,50.0
