dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,6.1,122.0,906.167,6.1,90.0
wine,3421827.432,6.033,120.667,1001.033,7.9,83.333
connectionist,314.774,10.5,210.0,1732.567,9.1,46.667
seeds,624.257,5.367,107.333,1018.4,9.0,83.333
heart,3347.196,12.467,249.333,2242.567,17.2,6.667
vertebral,559533.96,3.9,78.0,742.8,5.6,86.667
computers,320716.535,12.767,255.333,2558.367,37.0,10.0
gene,17808477.337,11.4,228.0,1691.733,574.5,33.333
movement-libras,381.488,20.5,410.0,2872.033,155.3,3.333
toxicity,4875920508130725.0,3.667,73.333,588.8,3.3,93.333
ECG5000,12734.666,14.867,297.333,3017.6,89.4,0.0
ecoli,15.623,15.6,312.0,2818.367,80.5,0.0
glass,90.708,15.0,300.0,2156.067,31.5,0.0
accent,29545.485,14.867,297.333,2918.567,63.4,0.0
