dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,1.933,58.667,268.867,1.6,100.0
wine,3421827.432,2.367,67.333,328.4,2.2,100.0
connectionist,314.774,5.167,123.333,683.633,3.1,100.0
seeds,624.257,2.467,69.333,371.667,2.8,100.0
heart,3347.196,7.967,167.3,1095.467,7.7,100.0
vertebral,559533.96,1.6,52.0,238.167,1.6,100.0
computers,320716.535,7.867,177.333,1123.8,13.9,100.0
gene,17808477.337,5.233,109.9,704.467,252.3,100.0
movement-libras,381.869,18.833,396.667,1896.2,91.9,100.0
toxicity,4925753246225918.0,1.233,44.667,170.2,0.9,100.0
ECG5000,12735.445,11.567,251.333,1538.433,41.0,100.0
ecoli,15.628,12.733,274.667,1544.067,39.8,100.0
glass,90.75,12.367,267.333,1248.6,16.1,100.0
accent,29545.486,12.3,258.3,1621.7,32.8,100.0
