dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,1.9,58.0,301.6,1.8,93.333
wine,3421867.325,1.8,56.0,331.1,2.2,80.0
connectionist,314.774,3.633,92.667,609.067,2.8,43.333
seeds,624.257,1.933,58.667,373.833,2.8,83.333
heart,3347.196,8.133,170.8,1093.867,7.4,100.0
vertebral,559533.96,1.367,47.333,262.8,1.7,86.667
computers,320716.486,5.267,125.333,976.533,11.9,13.333
gene,17808477.337,5.1,107.1,686.067,237.7,100.0
movement-libras,381.906,13.9,298.0,1656.233,79.5,0.0
toxicity,4925753246225918.0,1.133,42.667,204.733,1.1,90.0
ECG5000,12735.603,7.333,166.667,1267.467,33.6,0.0
ecoli,15.63,7.433,168.667,1201.4,30.8,0.0
glass,90.814,7.9,178.0,1020.1,13.0,3.333
accent,29545.863,12.1,254.1,1614.067,34.0,100.0
