dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,2.533,50.667,287.233,1.9,100.0
wine,3421827.432,2.233,44.667,294.867,2.1,100.0
connectionist,314.774,5.333,106.667,617.2,2.9,100.0
seeds,624.257,2.167,43.333,319.667,2.5,100.0
heart,3347.196,8.033,160.667,952.8,6.4,100.0
vertebral,559533.96,1.733,34.667,220.667,1.5,100.0
computers,320716.54,8.267,165.333,1128.7,14.5,100.0
gene,17808477.337,5.433,108.667,593.7,201.4,100.0
movement-libras,381.957,20.4,408.0,1850.967,93.8,100.0
toxicity,4925753246225918.0,1.233,24.667,158.367,0.9,100.0
ECG5000,12734.672,11.067,221.333,1349.533,37.3,100.0
ecoli,15.625,12.767,255.333,1457.067,39.1,100.0
glass,90.749,11.667,233.333,1090.667,14.8,100.0
accent,29545.646,11.233,224.667,1346.367,27.3,100.0
