||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          6.033 |          126.7 |        943.267 |          5.713 |           90.0 ||
||           wine |    3421827.432 |          6.033 |          126.7 |       1033.367 |          6.901 |         76.667 ||
||  connectionist |        314.774 |           10.5 |          220.5 |         1829.7 |          8.279 |         53.333 ||
||          seeds |        624.257 |          5.667 |          119.0 |         1081.7 |          8.216 |         76.667 ||
||          heart |       3347.196 |           12.6 |          264.6 |       2389.833 |         15.636 |          3.333 ||
||      vertebral |      559533.96 |            3.9 |           81.9 |        759.767 |          4.991 |         86.667 ||
||      computers |     320716.535 |           12.9 |          270.9 |       2709.733 |         33.208 |           10.0 ||
||           gene |   17808477.337 |         11.567 |          242.9 |       1800.933 |         596.52 |         36.667 ||
||movement-libras |        381.675 |           19.8 |          415.8 |         3006.6 |        142.981 |            0.0 ||
||       toxicity |4875920508130725.0 |          3.433 |           72.1 |        605.733 |          3.146 |         96.667 ||
||        ECG5000 |      12734.666 |         14.767 |          310.1 |       3171.333 |         83.192 |            0.0 ||
||          ecoli |         15.623 |           15.4 |          323.4 |         2932.1 |         74.779 |          3.333 ||
||          glass |         90.727 |         15.067 |          316.4 |       2311.233 |         29.453 |            0.0 ||
||         accent |      29545.492 |         14.833 |          311.5 |       3059.333 |         59.385 |            0.0 ||
