||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          2.033 |         60.667 |        251.833 |           1.67 |          100.0 ||
||           wine |    3421827.432 |          2.467 |         69.333 |        315.867 |          2.305 |          100.0 ||
||  connectionist |        314.774 |            4.9 |          118.0 |        624.533 |          3.147 |          100.0 ||
||          seeds |        624.257 |            2.1 |           62.0 |        316.233 |          2.586 |          100.0 ||
||          heart |       3347.198 |          8.433 |        188.667 |          991.6 |           7.28 |          100.0 ||
||      vertebral |      559533.96 |          1.667 |         53.333 |        228.267 |          1.669 |          100.0 ||
||      computers |     320716.672 |          7.933 |        178.667 |       1053.333 |         14.289 |          100.0 ||
||           gene |   17808477.337 |          5.367 |        127.333 |          620.1 |        209.033 |          100.0 ||
||movement-libras |        381.759 |         18.567 |        391.333 |         1715.7 |         88.761 |          100.0 ||
||       toxicity |4925753246225918.0 |          1.233 |         44.667 |        159.233 |          0.919 |          100.0 ||
||        ECG5000 |      12734.779 |           11.8 |          256.0 |       1426.533 |         40.574 |          100.0 ||
||          ecoli |         15.627 |           12.8 |          276.0 |       1401.967 |         38.468 |          100.0 ||
||          glass |         90.734 |           11.7 |          254.0 |       1093.733 |         15.296 |          100.0 ||
||         accent |      29546.056 |         11.533 |        250.667 |       1377.967 |         28.774 |          100.0 ||
