||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          6.033 |          152.7 |       1111.567 |          6.804 |         96.667 ||
||           wine |    3421827.432 |          5.833 |        149.167 |         1225.9 |          8.278 |           80.0 ||
||  connectionist |        314.774 |         10.467 |        262.467 |       2155.367 |           9.81 |           60.0 ||
||          seeds |        624.257 |          5.333 |        141.333 |       1261.167 |          9.674 |         96.667 ||
||          heart |       3347.196 |           12.5 |          313.5 |       2772.667 |         19.287 |           10.0 ||
||      vertebral |      559533.96 |          3.733 |         95.067 |          892.0 |          5.909 |         96.667 ||
||      computers |     320716.535 |         12.333 |        314.667 |       3082.667 |         37.917 |         26.667 ||
||           gene |   17808477.337 |         11.433 |        281.767 |       2060.133 |        705.298 |           50.0 ||
||movement-libras |        381.394 |           19.4 |          579.4 |       3852.867 |        186.954 |          3.333 ||
||       toxicity |4875920508130725.0 |          3.933 |        103.267 |        761.433 |          4.044 |         96.667 ||
||        ECG5000 |      12734.683 |         14.367 |          384.7 |       3724.067 |         99.277 |          3.333 ||
||          ecoli |         15.623 |         15.467 |        434.133 |       3678.567 |         95.419 |            0.0 ||
||          glass |         90.726 |         14.033 |        375.367 |         2690.0 |         34.828 |          3.333 ||
||         accent |      29545.485 |         14.167 |        380.833 |         3615.3 |         74.632 |            0.0 ||
