||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          2.233 |         64.667 |        258.233 |          1.727 |          100.0 ||
||           wine |    3421867.325 |          2.433 |         68.667 |          310.5 |          2.261 |          100.0 ||
||  connectionist |        314.774 |          5.033 |        120.667 |        615.733 |          3.114 |          100.0 ||
||          seeds |        624.257 |          2.367 |         67.333 |          333.6 |          2.747 |          100.0 ||
||          heart |       3347.196 |          7.767 |        175.333 |          939.0 |          6.819 |          100.0 ||
||      vertebral |      559533.96 |            1.7 |           54.0 |          229.4 |          1.668 |          100.0 ||
||      computers |     320716.672 |          8.067 |        181.333 |       1068.167 |         14.307 |          100.0 ||
||           gene |   17808477.337 |            5.3 |          126.0 |          619.8 |        210.072 |          100.0 ||
||movement-libras |        381.858 |           18.6 |          392.0 |         1687.7 |         87.025 |          100.0 ||
||       toxicity |4925753246225918.0 |          1.333 |         46.667 |        161.933 |          0.936 |          100.0 ||
||        ECG5000 |      12734.712 |         11.833 |        256.667 |         1431.3 |         40.598 |          100.0 ||
||          ecoli |         15.629 |         13.033 |        260.667 |         1467.3 |         43.133 |          100.0 ||
||          glass |          90.72 |         12.367 |        247.333 |         1168.0 |         17.356 |          100.0 ||
||         accent |      29545.485 |         11.933 |        238.667 |       1431.433 |         31.612 |          100.0 ||
